strategy_idx,sr_period,min_touches,entry_zone,exit_zone,min_range,total_trades,avg_return_bps,win_rate,long_trades,short_trades,long_return_bps,short_return_bps
257,10,4,0.002,0.003,0.003,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
258,10,4,0.002,0.003,0.004,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
259,10,4,0.002,0.003,0.005,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
260,10,4,0.0025,0.001,0.002,3222,-0.802271175202063,0.48324022346368717,2259,963,-0.7324544623218583,-0.9660468287808611
261,10,4,0.0025,0.001,0.003,2874,-0.843981622138202,0.4780793319415449,1911,963,-0.782469955996454,-0.9660468287808611
262,10,4,0.0025,0.001,0.004,2258,-1.067167141061783,0.46988485385296724,1295,963,-1.1423631725108392,-0.9660468287808611
263,10,4,0.0025,0.001,0.005,1642,-1.01811319573627,0.4701583434835566,826,816,-1.1602595087450862,-0.874224893597443
264,10,4,0.0025,0.0015,0.002,2238,-1.056155527336491,0.4647006255585344,1458,780,-0.8661200596037715,-1.4113756708676524
265,10,4,0.0025,0.0015,0.003,2238,-1.056155527336491,0.4647006255585344,1458,780,-0.8661200596037715,-1.4113756708676524
266,10,4,0.0025,0.0015,0.004,1943,-1.0777952798883708,0.4590838908903757,1163,780,-0.8540698242014922,-1.4113756708676524
267,10,4,0.0025,0.0015,0.005,1515,-1.1416889916894055,0.45544554455445546,775,740,-0.9230427235775845,-1.3706766373470558
268,10,4,0.0025,0.002,0.002,1397,-0.6253666535274558,0.47315676449534716,810,587,-0.4720165075420835,-0.8369741803556529
269,10,4,0.0025,0.002,0.003,1397,-0.6253666535274558,0.47315676449534716,810,587,-0.4720165075420835,-0.8369741803556529
270,10,4,0.0025,0.002,0.004,1397,-0.6253666535274558,0.47315676449534716,810,587,-0.4720165075420835,-0.8369741803556529
271,10,4,0.0025,0.002,0.005,1247,-0.8428952434752514,0.4595028067361668,660,587,-0.8481614011285913,-0.8369741803556529
272,10,4,0.0025,0.0025,0.002,846,-0.8527062797581942,0.46926713947990545,429,417,-0.7127963601037322,-0.9966423841509139
273,10,4,0.0025,0.0025,0.003,846,-0.8527062797581942,0.46926713947990545,429,417,-0.7127963601037322,-0.9966423841509139
274,10,4,0.0025,0.0025,0.004,846,-0.8527062797581942,0.46926713947990545,429,417,-0.7127963601037322,-0.9966423841509139
275,10,4,0.0025,0.0025,0.005,846,-0.8527062797581942,0.46926713947990545,429,417,-0.7127963601037322,-0.9966423841509139
276,10,4,0.0025,0.003,0.002,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
